Ticker,Ex-Date,Pay-Date,Amount,Market
2201,2026-08-25,2026-09-24,0.56,TW
00850,2026-08-21,2026-09-20,0.85,TW
00929,2026-08-19,2026-09-18,0.38,TW
00878,2026-08-18,2026-09-17,1.01,TW
00937B,2026-08-18,2026-09-17,0.072,TW
00772B,2026-08-18,2026-09-17,0.14,TW
00761B,2026-08-18,2026-09-17,0.45,TW
6282,2026-08-17,2026-09-16,0.799933,TW
2886,2026-08-13,2026-09-12,1.75,TW
2880,2026-08-13,2026-09-12,1.35,TW
00940,2026-08-11,2026-09-10,0.05,TW
2409,2026-07-30,2026-08-29,0.4,TW
2002,2026-07-24,2026-08-23,0.15,TW
2204,2026-07-23,2026-08-22,3.6,TW
2890,2026-07-23,2026-08-22,1.1,TW
2885,2026-07-21,2026-08-20,1.730769,TW
00719B,2026-07-21,2026-08-20,0.27,TW
00929,2026-07-21,2026-08-20,0.38,TW
2887,2026-07-21,2026-08-20,1.0,TW
0050,2026-07-21,2026-08-20,0.6,TW
0056,2026-07-21,2026-08-20,1.35,TW
00772B,2026-07-16,2026-08-15,0.14,TW
1102,2026-07-16,2026-08-15,2.3,TW
006208,2026-07-16,2026-08-15,4.75,TW
00722B,2026-07-16,2026-08-15,0.52,TW
00937B,2026-07-16,2026-08-15,0.072,TW
2356,2026-07-15,2026-08-14,2.0,TW
4588,2026-07-14,2026-08-13,3.0,TW
3034,2026-07-13,2026-08-12,23.0,TW
2891,2026-07-13,2026-08-12,2.500239,TW
00940,2026-07-09,2026-08-08,0.05,TW
3231,2026-07-08,2026-08-07,5.500623,TW
6233,2026-07-08,2026-08-07,0.750475,TW
2303,2026-07-08,2026-08-07,2.608083,TW
1101,2026-07-01,2026-07-31,0.8,TW
2883,2026-06-30,2026-07-30,1.0,TW
VOO,2026-06-26,2026-07-16,1.962,US
VOO,2026-06-26,2026-07-16,1.962,US
8046,2026-06-25,2026-07-25,2.0,TW
1609,2026-06-23,2026-07-23,0.7,TW
1432,2026-06-23,2026-07-23,2.0,TW
00751B,2026-06-22,2026-07-22,0.43,TW
QQQM,2026-06-22,2026-07-12,0.352,US
QQQM,2026-06-22,2026-07-12,0.352,US
00713,2026-06-22,2026-07-22,1.0,TW
1904,2026-06-22,2026-07-22,0.45,TW
VT,2026-06-18,2026-07-08,0.563,US
VWO,2026-06-18,2026-07-08,0.071,US
VT,2026-06-18,2026-07-08,0.563,US
VWO,2026-06-18,2026-07-08,0.071,US
00929,2026-06-17,2026-07-17,0.26,TW
2353,2026-06-17,2026-07-17,1.3,TW
00772B,2026-06-16,2026-07-16,0.14,TW
00937B,2026-06-16,2026-07-16,0.072,TW
1218,2026-06-12,2026-07-12,1.32,TW
00940,2026-06-09,2026-07-09,0.05,TW
00850,2026-05-22,2026-06-21,0.85,TW
00929,2026-05-20,2026-06-19,0.13,TW
00761B,2026-05-19,2026-06-18,0.4,TW
00772B,2026-05-19,2026-06-18,0.14,TW
00937B,2026-05-19,2026-06-18,0.072,TW
00878,2026-05-19,2026-06-18,0.66,TW
00940,2026-05-07,2026-06-06,0.045,TW
1217,2026-04-24,2026-05-24,0.25,TW
00719B,2026-04-23,2026-05-23,0.27,TW
0056,2026-04-23,2026-05-23,1.0,TW
00929,2026-04-21,2026-05-21,0.13,TW
00772B,2026-04-20,2026-05-20,0.14,TW
00722B,2026-04-20,2026-05-20,0.525,TW
00937B,2026-04-20,2026-05-20,0.072,TW
00940,2026-04-09,2026-05-09,0.045,TW
2324,2026-03-27,2026-04-26,1.1,TW
VOO,2026-03-27,2026-04-16,1.872,US
VOO,2026-03-27,2026-04-16,1.872,US
QQQM,2026-03-23,2026-04-12,0.328,US
QQQM,2026-03-23,2026-04-12,0.328,US
VT,2026-03-20,2026-04-09,0.327,US
00713,2026-03-20,2026-04-19,0.78,TW
00751B,2026-03-20,2026-04-19,0.41,TW
VT,2026-03-20,2026-04-09,0.327,US
00878,2026-02-26,2026-03-28,0.42,TW
00761B,2026-02-26,2026-03-28,0.41,TW
00850,2026-02-26,2026-03-28,0.8,TW
0050,2026-01-22,2026-02-21,1.0,TW
0056,2026-01-22,2026-02-21,0.866,TW
00719B,2026-01-22,2026-02-21,0.27,TW
00722B,2026-01-20,2026-02-19,0.525,TW
VOO,2025-12-22,2026-01-11,1.771,US
VOO,2025-12-22,2026-01-11,1.771,US
QQQM,2025-12-22,2026-01-11,0.323,US
QQQM,2025-12-22,2026-01-11,0.323,US
00713,2025-12-19,2026-01-18,0.78,TW
VWO,2025-12-19,2026-01-08,1.033,US
VT,2025-12-19,2026-01-08,1.115,US
VWO,2025-12-19,2026-01-08,1.033,US
00751B,2025-12-19,2026-01-18,0.41,TW
VT,2025-12-19,2026-01-08,1.115,US
00850,2025-11-21,2025-12-21,0.7,TW
006208,2025-11-18,2025-12-18,3.448,TW
00878,2025-11-18,2025-12-18,0.4,TW
00761B,2025-11-18,2025-12-18,0.408,TW
00719B,2025-10-23,2025-11-22,0.29,TW
0056,2025-10-23,2025-11-22,0.866,TW
00722B,2025-10-20,2025-11-19,0.515,TW
VOO,2025-09-29,2025-10-19,1.74,US
VOO,2025-09-29,2025-10-19,1.74,US
QQQM,2025-09-22,2025-10-12,0.302,US
QQQM,2025-09-22,2025-10-12,0.302,US
VT,2025-09-19,2025-10-09,0.478,US
VWO,2025-09-19,2025-10-09,0.28,US
VWO,2025-09-19,2025-10-09,0.28,US
00751B,2025-09-19,2025-10-19,0.41,TW
VT,2025-09-19,2025-10-09,0.478,US
00713,2025-09-19,2025-10-19,0.78,TW
2379,2025-09-10,2025-10-10,25.5,TW
2201,2025-08-21,2025-09-20,1.3,TW
00850,2025-08-21,2025-09-20,0.6,TW
2890,2025-08-21,2025-09-20,0.892157,TW
6282,2025-08-18,2025-09-17,0.500093,TW
00761B,2025-08-18,2025-09-17,0.43,TW
00878,2025-08-18,2025-09-17,0.4,TW
2880,2025-08-13,2025-09-12,1.237624,TW
2887,2025-08-12,2025-09-11,0.891089,TW
2886,2025-08-07,2025-09-06,1.6,TW
2409,2025-08-05,2025-09-04,0.304801,TW
2002,2025-07-24,2025-08-23,0.33,TW
0050,2025-07-21,2025-08-20,0.36,TW
0056,2025-07-21,2025-08-20,0.866,TW
00719B,2025-07-21,2025-08-20,0.31,TW
2204,2025-07-17,2025-08-16,4.2,TW
1102,2025-07-17,2025-08-16,2.2,TW
00722B,2025-07-16,2025-08-15,0.463,TW
006208,2025-07-16,2025-08-15,0.989,TW
1609,2025-07-14,2025-08-13,0.75,TW
2891,2025-07-14,2025-08-13,2.300411,TW
2356,2025-07-10,2025-08-09,1.7,TW
4588,2025-07-10,2025-08-09,3.0,TW
3034,2025-07-09,2025-08-08,28.0,TW
6233,2025-07-07,2025-08-06,0.35947,TW
8046,2025-07-03,2025-08-02,1.0,TW
1101,2025-07-02,2025-08-01,1.0,TW
2885,2025-07-01,2025-07-31,1.446975,TW
VOO,2025-06-30,2025-07-20,1.745,US
VOO,2025-06-30,2025-07-20,1.745,US
2883,2025-06-30,2025-07-30,0.8416,TW
1218,2025-06-26,2025-07-26,1.35,TW
2303,2025-06-24,2025-07-24,2.850164,TW
QQQM,2025-06-23,2025-07-13,0.316,US
QQQM,2025-06-23,2025-07-13,0.316,US
00751B,2025-06-20,2025-07-20,0.41,TW
VWO,2025-06-20,2025-07-10,0.139,US
VT,2025-06-20,2025-07-10,0.595,US
VWO,2025-06-20,2025-07-10,0.139,US
00713,2025-06-20,2025-07-20,1.1,TW
VT,2025-06-20,2025-07-10,0.595,US
1904,2025-06-19,2025-07-19,0.45,TW
2353,2025-06-19,2025-07-19,1.7,TW
3231,2025-06-03,2025-07-03,3.799274,TW
1217,2025-04-24,2025-05-24,0.37,TW
2324,2025-03-27,2025-04-26,1.4,TW
VWO,2025-03-21,2025-04-10,0.047,US
VWO,2025-03-21,2025-04-10,0.047,US
0050,2025-01-17,2025-02-16,0.675,TW
006208,2024-11-18,2024-12-18,0.9,TW
2379,2024-09-05,2024-10-05,15.5,TW
6282,2024-09-02,2024-10-02,0.500341,TW
2890,2024-08-22,2024-09-21,0.711116,TW
2201,2024-08-22,2024-09-21,1.4,TW
1609,2024-08-16,2024-09-15,1.182266,TW
2880,2024-08-13,2024-09-12,1.176355,TW
2886,2024-08-08,2024-09-07,1.5,TW
2887,2024-08-06,2024-09-05,0.594059,TW
2409,2024-08-05,2024-09-04,0.9,TW
2002,2024-07-26,2024-08-25,0.35,TW
1102,2024-07-18,2024-08-17,2.1,TW
2204,2024-07-18,2024-08-17,6.0,TW
0050,2024-07-16,2024-08-15,0.25,TW
006208,2024-07-16,2024-08-15,0.783,TW
8046,2024-07-16,2024-08-15,5.5,TW
2891,2024-07-15,2024-08-14,1.800136,TW
2356,2024-07-11,2024-08-10,1.5,TW
4588,2024-07-11,2024-08-10,3.0,TW
3034,2024-07-10,2024-08-09,32.0,TW
6233,2024-07-08,2024-08-07,0.209163,TW
2303,2024-07-02,2024-08-01,3.000117,TW
1101,2024-07-01,2024-07-31,1.0,TW
2883,2024-07-01,2024-07-31,0.49567,TW
2885,2024-06-27,2024-07-27,1.006751,TW
3231,2024-06-25,2024-07-25,2.599053,TW
1904,2024-06-24,2024-07-24,0.5,TW
2353,2024-06-20,2024-07-20,1.6,TW
1217,2024-04-19,2024-05-19,0.23,TW
2324,2024-03-29,2024-04-28,1.2,TW
6648,2023-09-27,2023-10-27,0.5,TW
2379,2023-09-11,2023-10-11,27.0,TW
2201,2023-08-24,2023-09-23,0.934579,TW
2880,2023-08-17,2023-09-16,0.572648,TW
2886,2023-08-10,2023-09-09,1.200105,TW
2409,2023-08-10,2023-09-09,0.8,TW
2890,2023-08-09,2023-09-08,0.555017,TW
2891,2023-08-04,2023-09-03,1.000026,TW
1609,2023-07-31,2023-08-30,0.450798,TW
2002,2023-07-26,2023-08-25,1.0,TW
2887,2023-07-26,2023-08-25,0.485529,TW
4588,2023-07-20,2023-08-19,1.0,TW
1102,2023-07-20,2023-08-19,2.299588,TW
2204,2023-07-13,2023-08-12,4.0,TW
2356,2023-07-12,2023-08-11,1.5,TW
3034,2023-07-11,2023-08-10,37.0,TW
1101,2023-07-11,2023-08-10,0.49972,TW
6233,2023-07-06,2023-08-05,0.48391,TW
3231,2023-07-05,2023-08-04,2.598721,TW
1218,2023-07-04,2023-08-03,0.569857,TW
8040,2023-07-03,2023-08-02,1.2,TW
2353,2023-06-29,2023-07-29,1.5,TW
2885,2023-06-29,2023-07-29,0.721362,TW
2303,2023-06-27,2023-07-27,3.600463,TW
1904,2023-06-27,2023-07-27,1.1,TW
6282,2023-06-26,2023-07-26,0.197171,TW
8046,2023-06-15,2023-07-15,18.0,TW
2324,2023-04-20,2023-05-20,1.2,TW
1217,2023-04-07,2023-05-07,0.4,TW
2409,2022-09-29,2022-10-29,2.0,TW
2379,2022-09-12,2022-10-12,27.0,TW
1609,2022-08-29,2022-09-28,0.325282,TW
2201,2022-08-25,2022-09-24,1.480158,TW
2887,2022-08-24,2022-09-23,0.552755,TW
2880,2022-08-11,2022-09-10,0.75706,TW
2886,2022-08-11,2022-09-10,1.344203,TW
2890,2022-08-10,2022-09-09,0.720597,TW
1102,2022-07-28,2022-08-27,3.399659,TW
2002,2022-07-26,2022-08-25,3.1,TW
1101,2022-07-21,2022-08-20,0.999283,TW
2204,2022-07-21,2022-08-20,5.5,TW
2891,2022-07-14,2022-08-13,1.25,TW
2356,2022-07-14,2022-08-13,1.4,TW
3034,2022-07-12,2022-08-11,51.5,TW
1217,2022-07-12,2022-08-11,0.3,TW
3231,2022-07-06,2022-08-05,2.200116,TW
2883,2022-07-06,2022-08-05,0.990176,TW
8040,2022-07-01,2022-07-31,0.6,TW
2353,2022-06-30,2022-07-30,2.28,TW
8046,2022-06-29,2022-07-29,10.0,TW
2885,2022-06-28,2022-07-28,1.313159,TW
1904,2022-06-28,2022-07-28,1.9,TW
6648,2022-06-23,2022-07-23,1.854523,TW
1218,2022-06-23,2022-07-23,1.0,TW
2303,2022-06-22,2022-07-22,3.0,TW
2324,2022-04-22,2022-05-22,2.0,TW
6282,2022-04-21,2022-05-21,0.952733,TW
1218,2021-09-22,2021-10-22,1.4,TW
2379,2021-09-08,2021-10-08,14.0,TW
6648,2021-09-06,2021-10-06,4.172677,TW
2883,2021-08-10,2021-09-09,0.544294,TW
1432,2020-11-16,2020-12-16,3.911541,TW
6648,2020-07-09,2020-08-08,0.441553,TW
8040,2020-07-01,2020-07-31,0.2,TW
6648,2019-09-19,2019-10-19,1.324659,TW
8040,2011-07-28,2011-08-27,1.279663,TW
6233,2008-08-06,2008-09-05,0.625329,TW
8040,2008-07-29,2008-08-28,1.233594,TW
